Repetition ID,Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE
10,Half,Linear regression,0.282,0.359,0.3000999833388866,0.2809982206349357
1,Half fine-tuned,Linear regression,0.281,0.325,0.29824486584013477,0.3163858403911275
2,Half fine-tuned,Linear regression,0.329,-103.472,0.2892576705983784,3.7107950630558943
3,Half fine-tuned,Linear regression,0.29,0.222,0.2977079105432034,0.3232645975048923
4,Half fine-tuned,Linear regression,0.29,0.115,0.30004999583402764,0.2834960317182588
5,Half fine-tuned,Linear regression,0.292,0.157,0.2967153518104515,0.34044089061098404
6,Half fine-tuned,Linear regression,0.289,0.244,0.2965130688519479,0.34322004603461026
7,Half fine-tuned,Linear regression,0.286,0.291,0.2997999332888518,0.28597202660400195
8,Half fine-tuned,Linear regression,0.293,0.13,0.2984292210893565,0.31443600302764313
9,Half fine-tuned,Linear regression,0.298,-0.057,0.29854647879350377,0.3100483833210552
10,Half fine-tuned,Linear regression,0.282,0.359,0.3000999833388866,0.2809982206349357
1,RGB superposition,Linear regression,0.54,0.657,0.23740261161158274,0.20139513400278566
2,RGB superposition,Linear regression,0.594,0.097,0.228232337761326,0.28418303960651836
3,RGB superposition,Linear regression,0.569,0.491,0.2315815191244759,0.24917865077088766
4,RGB superposition,Linear regression,0.552,0.624,0.23530830839560257,0.2191118435867856
5,RGB superposition,Linear regression,0.565,0.514,0.23396580946796477,0.23244354153213206
6,RGB superposition,Linear regression,0.558,0.598,0.23799159649029628,0.19248376554920157
7,RGB superposition,Linear regression,0.552,0.636,0.23528705871764388,0.2171174797200815
8,RGB superposition,Linear regression,0.61,0.135,0.21993180761317815,0.322490309931942
9,RGB superposition,Linear regression,0.566,0.503,0.23375200533899168,0.23308796622734518
10,RGB superposition,Linear regression,0.562,0.553,0.23518078152774302,0.21876928486421487
